Number of bedrooms,Number of bathrooms,Living area sqft,Number of schools nearby,Distance from the airport,Price
4,2.5,2740,1,74,651000
4,2.5,2210,2,62,650000
3,2.5,1740,3,63,645000
4,1.75,1950,3,60,635000
4,2,2260,1,60,628000
3,3.5,1810,1,76,625000
3,1,1710,3,64,620000
3,1.75,1680,1,50,591000
4,2.25,2710,2,63,591000
4,1.75,2090,2,66,581000
5,2,2290,3,61,580000
3,1.75,1580,3,62,575000
3,2,1530,1,54,570000
3,1,1440,1,60,560000
4,2,2250,3,73,550000
7,4,3440,1,62,550000
2,2,1680,2,72,530000
3,1.75,1690,3,62,530000
5,3,2450,1,52,525000
3,3.5,2876,1,70,525000
3,2.5,1580,1,54,525000
3,1.5,1240,1,54,523000
4,2.5,2790,1,69,505000
4,2.5,2040,2,72,502000
5,4.75,3830,2,61,480000
4,2.5,3740,1,68,475000
3,1.5,1270,2,77,465000
5,2.5,3400,1,80,464000
3,2.25,2350,2,69,460000
4,2.5,3360,3,67,455000
3,2.75,1250,2,52,450000
3,2.25,2450,1,72,450000
3,2,1770,3,63,449500
4,2.25,2140,1,72,435000
3,1.75,1960,3,61,415000
4,1,1410,3,80,413000
4,1.75,2180,3,58,405000
3,2,1480,2,58,385000
3,1,1190,3,54,375000
5,2.5,3001,1,77,373000
3,1.75,1650,3,52,370000
3,2.5,1490,1,69,354901
3,2.5,2010,3,72,350000
3,1.75,1090,2,63,345000
3,2.5,1450,3,78,330000
3,2,1350,2,79,322500
3,1,1390,3,63,319000
3,1,1090,3,77,289000
3,2.5,1950,2,73,287600
3,2.25,1490,3,57,287000
3,1,1090,1,52,285000
4,1.5,2180,1,66,273000
4,2.25,2510,3,59,267345
5,1.75,2020,3,66,245000
3,1,1900,2,80,239950
2,0.75,650,1,52,230000
3,1.5,1250,2,72,225000
4,1.5,1950,1,51,225000
3,1,1040,2,62,225000
3,1,1660,2,51,225000
2,1,910,3,62,155000
2,1,790,3,76,90000
4,2.75,3260,3,78,1880000
3,2.5,2550,2,77,1400000
4,3.5,4910,2,52,1220000
4,2.25,4470,3,67,1120000
4,2,2290,2,68,1060000
5,4.5,3810,1,53,966000
5,2.25,2510,3,69,955000
4,2.5,3320,3,54,950000
3,2.5,3100,3,50,930000
4,2.5,2190,1,80,925000
3,2.5,2580,2,55,802000
3,1,1700,3,71,800000
3,2.75,2470,3,60,773000
3,2.5,3030,2,53,766950
5,5,5774,3,54,740000
4,2.5,3430,3,58,740000
4,2.5,2700,2,59,723000
4,2.25,2060,2,78,715000
4,3.25,3200,1,54,707000
3,1.5,2360,1,53,702500
3,1.75,1830,2,61,682000
4,2.5,2470,3,68,633100
4,2.75,1680,2,72,625000
5,2.5,2540,3,54,620000
5,1.75,2220,3,78,607500
2,1.5,1159,3,64,582500
4,2.5,2240,3,67,565000
3,1.5,1830,3,56,562000
3,1.75,2000,3,56,546000
3,2.5,2090,2,59,543000
2,2,2370,2,80,543000
4,1.75,1900,2,78,542000
3,1.75,1400,1,62,538000
4,2.75,2450,1,55,530000
3,1.75,1600,3,52,525000
3,2.5,1820,3,70,511000
3,1.75,2170,2,75,510000
3,2,2090,3,70,499000
4,2.75,2270,1,74,498000
3,2.75,1850,2,80,489200
4,2.5,2150,3,68,486000
4,2.5,2310,2,69,470000
3,1,1660,2,70,458000
3,2.5,2910,2,64,450000
3,2.75,2580,3,59,437000
4,2.5,3040,2,74,420000
2,1,840,3,69,405100
2,1,980,2,51,400000
2,1,830,2,68,394475
4,1.75,1620,1,52,385000
3,2.5,1690,1,55,372977
3,1,1290,2,73,372220
4,1.75,2010,1,61,364000
3,3.5,2100,3,55,356000
5,3,2257,3,53,349950
3,2.25,2120,1,74,345000
3,2.25,1970,1,71,340000
3,1,1050,1,75,339950
5,2,1700,3,67,337500
3,2.5,2220,1,57,325000
3,2.5,1840,3,58,317000
4,2.5,2010,1,80,316000
3,1,1050,3,68,310000
3,1,1480,3,64,310000
3,1.5,1220,3,72,306000
3,1.75,2110,3,50,305495
4,1.5,1590,3,69,305000
3,1,1260,3,80,300000
2,1.75,1250,2,71,299000
2,1,700,1,62,267800
3,2.5,1780,1,55,266000
3,2,1570,3,58,265000
3,2,1850,1,55,257200
4,2.5,2230,3,56,253000
4,2,1630,3,70,234000
3,1.75,1340,1,55,223000
2,1,1240,2,60,215000
2,1,1170,1,77,175000
3,1,860,1,60,160000
2,1,700,3,71,155000
3,1,1100,3,75,139000
4,1.75,3550,2,79,2100000
4,2.5,3200,3,56,1260000
4,3.5,4210,2,71,1150000
4,3.25,3740,1,68,1090000
5,4.25,3920,3,77,1000000
4,2.5,3950,3,76,914500
4,1.75,2930,2,80,840000
3,1,1230,1,78,839000
4,3.5,3930,3,69,828950
5,2.75,3030,3,51,819995
4,2.5,3310,3,72,803100
3,1.75,1790,2,54,790000
5,3.75,3580,3,65,765000
4,2.5,3240,3,74,749400
4,3,1980,1,66,744000
3,2.5,3150,1,62,720000
4,3,3150,3,60,695000
3,2.5,4560,1,54,695000
4,3.25,2740,2,69,689900
4,2,2560,3,50,640000
4,2.5,2680,3,53,620000
4,2,1550,3,59,613000
4,2.5,2240,3,80,592500
5,1.75,2000,1,79,585000
4,2.75,2550,1,78,582800
3,2.5,2360,3,68,580050
2,1,1490,2,75,575000
4,2.5,3020,3,59,575000
3,2.25,1980,3,52,550000
3,2.5,2700,3,76,525000
3,2.5,1840,1,68,512500
4,2.5,2240,1,74,497000
4,2,2050,2,55,495000
7,3.5,2870,3,57,475000
3,1,1660,3,59,467000
3,1.5,1260,3,78,465750
3,1.75,1410,2,70,465000
3,2.5,1870,1,68,455000
2,1,1320,3,71,451555
3,2,1510,2,55,430000
4,1.75,1880,3,59,423000
3,2,1640,2,60,420000
3,1.5,1340,3,65,417000
3,1.5,1490,1,70,412500
3,1,1630,1,78,400000
3,1.5,1120,2,70,395300
3,2.5,2240,2,69,390000
3,2.5,1720,1,63,386380
4,1.75,1890,3,74,375000
4,2.5,2710,3,72,370000
3,1.75,1680,3,66,350000
3,1,1400,2,61,349950
3,2.5,1700,3,67,349950
3,2.5,1232,1,68,344000
4,1.75,2290,3,53,343000
3,2.25,1180,1,53,342400
3,1.75,1960,1,59,340000
3,2.25,2150,1,69,335000
4,2.5,2150,2,52,316500
2,1,880,3,52,312500
3,2.25,1490,2,78,312000
4,1.75,2020,1,58,302000
3,1,1220,3,69,300000
3,1.5,850,3,61,295000
3,1,1330,2,71,280000
4,2.5,1840,2,61,275000
3,1,1010,1,59,270000
3,2.25,1590,3,76,263000
3,2.5,1690,2,71,256883
4,2.5,2070,1,69,255000
3,2,1650,1,52,252350
3,1,1230,1,74,250000
3,1.75,1490,2,77,245000
3,2,1400,3,78,240000
3,2,1400,2,55,225000
3,1,1040,2,73,217450
3,1,1160,3,79,215000
4,2,1670,3,76,204700
3,1,980,1,78,197500
3,1,1090,3,61,190000
3,1,1150,2,58,185000
3,1,1060,1,73,174950
5,4.25,6490,2,65,2000000
4,3,5520,3,54,1270000
3,2,2220,3,56,875000
4,2.75,3280,1,66,862500
5,1.5,3360,3,77,804995
4,3.25,3120,2,66,799000
3,2,2180,2,53,785000
4,2.5,2110,3,71,772000
4,2.5,3120,3,77,730100
5,2.75,2830,3,66,725000
3,2,2050,1,55,724800
2,1,2020,1,62,720000
5,2.5,3200,1,72,675000
5,3.25,3690,1,63,655000
4,2.5,3160,2,61,645000
3,2.25,1720,3,70,620000
3,2.5,2170,3,62,619500
3,2.5,2720,1,68,619000
3,2.5,2134,3,74,611000
2,1,910,3,52,605000
3,2.25,1290,1,71,605000
3,2.25,1520,3,73,565000
2,2,2260,2,63,551000
1,1,1140,3,67,540000
3,1.5,1260,3,62,523000
3,2.5,2370,1,58,522500
2,2.5,1310,1,61,500000
3,2,1450,1,66,490000
2,1,1160,3,80,490000
4,2.5,2430,1,79,480000
3,1.75,1560,2,54,451000
4,2.25,2270,1,59,446000
3,2.25,1990,3,59,445000
3,3,1970,2,64,445000
3,2.5,2320,1,65,437500
4,2.5,2280,1,67,433000
3,1.75,2150,2,70,430000
3,2.5,2670,1,55,425000
3,2.5,1800,2,72,408200
3,2.5,2740,3,76,400000
3,1.75,1180,1,65,385000
3,3.25,1860,3,68,379950
3,2.25,1410,1,60,377500
3,1.5,1100,3,54,375000
4,2.5,2790,1,73,375000
4,1.5,1370,3,58,370000
3,1.75,1726,2,72,363750
1,1,700,2,71,350000
4,2.5,2440,2,69,350000
4,1,1980,1,62,345000
3,1,1260,3,50,342000
3,2.5,1480,2,77,341000
3,1,1250,1,67,340000
3,1.5,1170,2,79,330000
3,2,1760,2,50,317000
4,2.5,2340,3,70,314000
3,2.25,2060,3,60,306500
3,2.5,1870,1,64,306000
2,1,830,2,63,282613
3,2.5,1480,2,70,275000
4,2,1510,2,66,254000
2,1.5,1070,2,69,252700
3,2,1900,3,52,250000
3,2.25,1440,3,65,249000
4,3.5,1850,3,69,248000
2,1,870,1,65,245000
4,1,1530,1,61,245000
5,1,1460,2,75,239950
4,2.25,1860,1,52,239900
3,2,1020,1,57,238000
